Question,Category,Scoring,Personality
1,Spending,Reverse,Spontaneous
2,Planning,Reverse,Pessimistic
3,Planning,Reverse,Pessimistic
4,Saving,Normal,Organized
5,Saving,Normal,Organized
6,Planning,Normal,Organized
7,Emotions,Normal,Anxious
8,Emotions,Normal,Anxious
9,Emotions,Normal,Anxious
10,Spending,Normal,Cautious
11,Debt,Normal,Cautious
12,Spending,Normal,Cautious
13,Spending,Reverse,Spontaneous
14,Decision,Reverse,Spontaneous
15,Spending,Reverse,Spontaneous
16,Emotions,Normal,Anxious
17,Outlook,Normal,Pessimistic
18,Trust,Normal,Cautious
19,Risk,Normal,Risk-Taker
20,Resilience,Reverse,Optimistic
21,Security,Reverse,Optimistic
22,Insurance,Normal,Risk-Taker
23,Gambling,Normal,Risk-Taker
24,Confidence,Normal,Risk-Taker
25,Advice,Normal,Collaborative
26,Generosity,Normal,Family-Focused
27,Social,Normal,Family-Focused
28,Independence,Reverse,Independent
29,Independence,Reverse,Independent
30,Independence,Reverse,Independent
31,Dependence,Normal,Collaborative
32,Avoidance,Normal,Anxious
33,Avoidance,Normal,Anxious
34,Organization,Reverse,Organized
35,Organization,Reverse,Organized
36,Organization,Reverse,Organized
37,Risk,Normal,Risk-Taker
38,Personality,Normal,Risk-Taker
39,Adventure,Normal,Risk-Taker
40,Philosophy,Normal,Risk-Taker
41,Emotional,Normal,Spontaneous
42,Credit,Normal,Risk-Taker