Question,Text
1,"I often spend money without considering whether it could be put to better use elsewhere."
2,"I don't really think too much about the future â€“ whatever is going to happen will happen."
3,"I am too busy worrying about today to really plan far in advance."
4,"I am saving as much money as I possibly can."
5,"I am willing to make sacrifices now to put more money in my savings account."
6,"I have specific plans for how I will achieve my goals."
7,"I feel panicky when an unexpected expense arises."
8,"I worry about money all the time."
9,"I can become distressed when making decisions involving money."
10,"I would rather save money than spend it."
11,"I try to avoid going into debt whenever possible."
12,"I usually think carefully about making a new purchase."
13,"It feels good to spend money on myself."
14,"I usually make decisions very quickly."
15,"I tend to buy things I hadn't planned to buy."
16,"I usually get depressed after making a financial decision."
17,"I expect my financial situation will always stay the same or get worse."
18,"If I am not careful, people will try to take advantage of me."
19,"If I got a juicy stock tip, I would invest some money, as long as it fit into my budget."
20,"When hit with an unexpected financial setback, I know I'll find a way to work it out."
21,"I know if I needed to quit my job I would be OK."
22,"I only purchase car insurance because it's required, not because I'll ever need it."
23,"When I play the lottery or gamble, it's because I believe I will beat the odds."
24,"I tend to be better than most people at most things."
25,"I often rely on my friends or family for financial advice."
26,"I enjoy buying really nice gifts for people."
27,"I would spend outside of my budget in order to join friends or family at an expensive restaurant."
28,"I am in a better position than anyone else to make decisions about my finances."
29,"It is annoying when others tell me how I should spend my money."
30,"Most of the time I tend to make financial decisions without receiving any advice."
31,"I am comfortable letting someone else in my life make all of the major financial decisions."
32,"I avoid talking about money because I feel that people will judge me."
33,"I tend to avoid thinking about money."
34,"I always know the balance in my checking account."
35,"I have all of my important documents (such as insurance policies) carefully stored where I can find them."
36,"Paying my bills on time each month gives me a good feeling."
37,"I would quit a job without having another job if I was unhappy."
38,"I tend to get bored easily."
39,"I feel that life is an adventure."
40,"I believe money is meant to be enjoyed."
41,"Going shopping makes me feel better."
42,"I would go on vacation and put it all on a credit card."